Site,2a,2b,2c,2d,2e,2f,2g
1764,288,254,210,103,147,189,343
228,0,1,NA,NA,NA,NA,NA
490,0,NA,NA,NA,NA,NA,NA
1634,53,NA,NA,24,NA,NA,NA
2045,13,48,NA,24,20,NA,2
24,2,,,,,,
26,0,,,,,,
36,0,,,,,,
37,0,,,,,,
43,1,,,,,,
48,15,,,,,,
49,0,,,,,,
55,0,,,,,,
68,0,,,,,,
85,1,,,,,,
96,0,,,,,,
105,0,,,,,,
108,0,,,,,,
114,1,,,,,,
115,33,,,,,,
144,3,,,,,,
153,0,,,,,,
169,2,,,,,,
176,0,,,,,,
184,4,,,,,,
186,0,,,,,,
193,0,,,,,,
201,32,,,,,,
203,0,,,,,,
213,1,,,,,,
232,0,,,,,,
235,0,,,,,,
243,2,,,,,,
279,1,,,,,,
284,0,,,,,,
298,0,,,,,,
301,0,,,,,,
311,0,,,,,,
323,0,,,,,,
331,1,,,,,,
338,0,,,,,,
340,0,,,,,,
344,15,,,,,,
345,0,,,,,,
357,0,,,,,,
405,0,,,,,,
407,0,,,,,,
413,1,,,,,,
422,5,,,,,,
425,0,,,,,,
426,0,,,,,,
433,126,,,,,,
434,0,,,,,,
437,2,,,,,,
441,0,,,,,,
443,0,,,,,,
444,0,,,,,,
488,0,,,,,,
494,0,,,,,,
498,0,,,,,,
541,3,,,,,,
542,0,,,,,,
564,0,,,,,,
573,0,,,,,,
583,0,,,,,,
588,0,,,,,,
604,0,,,,,,
609,0,,,,,,
630,0,,,,,,
631,0,,,,,,
632,0,,,,,,
635,0,,,,,,
658,0,,,,,,
659,0,,,,,,
673,0,,,,,,
697,0,,,,,,
713,0,,,,,,
723,0,,,,,,
724,0,,,,,,
727,0,,,,,,
728,0,,,,,,
741,0,,,,,,
742,0,,,,,,
744,0,,,,,,
761,0,,,,,,
771,0,,,,,,
791,0,,,,,,
795,0,,,,,,
829,0,,,,,,
839,0,,,,,,
845,0,,,,,,
854,0,,,,,,
873,0,,,,,,
874,1,,,,,,
890,0,,,,,,
898,0,,,,,,
906,0,,,,,,
931,2,,,,,,
933,0,,,,,,
936,0,,,,,,
950,1,,,,,,
981,0,,,,,,
982,1,,,,,,
984,0,,,,,,
990,0,,,,,,
1020,0,,,,,,
1030,0,,,,,,
1033,0,,,,,,
1035,2,,,,,,
1041,0,,,,,,
1045,2,,,,,,
1061,1,,,,,,
1069,0,,,,,,
1097,0,,,,,,
1101,1,,,,,,
1110,0,,,,,,
1165,0,,,,,,
1167,0,,,,,,
1190,0,,,,,,
1203,0,,,,,,
1212,0,,,,,,
1219,3,,,,,,
1223,0,,,,,,
1231,14,,,,,,
1235,1,,,,,,
1237,0,,,,,,
1238,0,,,,,,
1251,1,,,,,,
1256,0,,,,,,
1269,0,,,,,,
1276,0,,,,,,
1278,1,,,,,,
1291,0,,,,,,
1316,0,,,,,,
1320,6,,,,,,
1322,0,,,,,,
1335,0,,,,,,
1337,0,,,,,,
1342,0,,,,,,
1365,0,,,,,,
1366,0,,,,,,
1389,0,,,,,,
1395,4,,,,,,
1402,0,,,,,,
1407,0,,,,,,
1408,0,,,,,,
1409,0,,,,,,
1442,4,,,,,,
1454,0,,,,,,
1461,0,,,,,,
1477,3,,,,,,
1486,0,,,,,,
1494,0,,,,,,
1496,7,,,,,,
1508,4,,,,,,
1509,0,,,,,,
1513,0,,,,,,
1531,9,,,,,,
1534,0,,,,,,
1547,0,,,,,,
1548,0,,,,,,
1554,0,,,,,,
1564,0,,,,,,
1586,2,,,,,,
1594,0,,,,,,
1607,5,,,,,,
1639,0,,,,,,
1651,0,,,,,,
1661,0,,,,,,
1662,2,,,,,,
1666,0,,,,,,
1668,0,,,,,,
1669,0,,,,,,
1688,0,,,,,,
1718,0,,,,,,
1739,0,,,,,,
1743,0,,,,,,
1748,4,,,,,,
1749,0,,,,,,
1779,0,,,,,,
1828,0,,,,,,
1831,0,,,,,,
1853,0,,,,,,
1859,0,,,,,,
1875,0,,,,,,
1892,15,,,,,,
1895,0,,,,,,
1901,0,,,,,,
1904,0,,,,,,
1905,0,,,,,,
1915,0,,,,,,
1929,1,,,,,,
1930,37,,,,,,
1932,4,,,,,,
1944,0,,,,,,
1945,3,,,,,,
1948,0,,,,,,
1949,0,,,,,,
1952,0,,,,,,
1959,0,,,,,,
1960,0,,,,,,
1961,0,,,,,,
1962,0,,,,,,
1963,0,,,,,,
1966,0,,,,,,
1970,0,,,,,,
1971,0,,,,,,
1973,0,,,,,,
1981,0,,,,,,
1984,0,,,,,,
1986,0,,,,,,
1988,23,,,,,,
2000,0,,,,,,
2001,0,,,,,,
2002,0,,,,,,
2005,0,,,,,,
2006,0,,,,,,
2007,0,,,,,,
2017,0,,,,,,
2024,0,,,,,,
2033,0,,,,,,
2039,0,,,,,,
2040,0,,,,,,
2041,0,,,,,,
2044,0,,,,,,
2046,0,,,,,,
2047,0,,,,,,
2051,0,,,,,,
2052,0,,,,,,
2068,0,,,,,,
2070,2,,,,,,
2073,0,,,,,,
2074,0,,,,,,
2075,0,,,,,,
2077,0,,,,,,
2078,0,,,,,,
2079,0,,,,,,
2080,0,,,,,,
2081,0,,,,,,
2085,0,,,,,,
2099,0,,,,,,
2100,0,,,,,,
2104,0,,,,,,
2105,0,,,,,,
2109,1,,,,,,
2110,0,,,,,,
2116,0,,,,,,
2125,21,,,,,,
2128,0,,,,,,
2129,0,,,,,,
2152,0,,,,,,
2154,0,,,,,,
154,4,0,,,,,
163,1,5,,,,,
258,0,0,3,2,,,
296,0,0,3,,,,
336,0,0,,,,,
352,1,0,0,,,,
376,0,0,,,,,
382,3,11,,,,,
388,1,0,,,,,
505,1,2,,,,,
520,2,0,,,,,
547,52,40,,,,,
633,1,0,,,,,
664,0,0,,,,,
677,1,1,,,,,
849,1,0,,,,,
977,0,1,,,,,
996,0,0,,,,,
1077,4,1,,,,,
1456,1,2,0,0,,,
1571,3,1,,,,,
1673,0,4,,,,,
1734,0,2,8,2,,,
1737,0,0,,,,,
1761,2,4,,,,,
1765,0,1,0,0,,,
1844,2,1,,,,,
1845,1,0,,,,,
1846,0,0,,,,,
1847,0,0,,,,,
1900,2,3,,,,,
2071,10,5,,,,,
2083,0,0,,,,,
2084,12,7,,,,,
2086,12,10,,,,,
2139,3,6,4,2,,,
2148,0,0,,,,,
2149,0,4,,,,,
2150,0,0,,,,,
