site,20a,,,,,
1616,0,,,,,
1617,0,,,,,
1618,0,,,,,
1624,0,,,,,
1628,1,,,,,
1633,2,,,,,
1634,35,,,,,
1638,0,,,,,
1651,0,,,,,
1654,0,,,,,
1655,0,,,,,
1661,0,,,,,
1664,0,,,,,
1665,0,,,,,
1668,0,,,,,
1670,0,,,,,
1673,1,,,,,
1675,2,,,,,
1681,0,,,,,
1688,0,,,,,
1690,0,,,,,
1691,0,,,,,
1696,0,,,,,
1699,0,,,,,
1706,0,,,,,
1715,0,,,,,
1716,0,,,,,
1718,0,,,,,
1724,0,,,,,
1730,0,,,,,
1737,0,,,,,
1738,0,,,,,
1741,0,,,,,
1743,0,,,,,
1754,0,,,,,
1757,0,,,,,
1758,0,,,,,
1761,2,,,,,
1763,4,,,,,
1765,1,,,,,
1766,0,,,,,
1770,3,,,,,
1779,0,,,,,
1785,0,,,,,
1787,0,,,,,
1801,0,,,,,
1802,0,,,,,
1827,0,,,,,
1828,0,,,,,
1829,0,,,,,
1830,0,,,,,
1831,0,,,,,
1832,0,,,,,
1833,0,,,,,
1834,0,,,,,
1835,0,,,,,
1836,0,,,,,
1837,0,,,,,
1840,0,,,,,
1843,2,,,,,
1849,0,,,,,
1851,1,,,,,
1855,0,,,,,
1856,0,,,,,
1858,0,,,,,
1860,0,,,,,
1861,0,,,,,
1862,0,,,,,
1863,0,,,,,
1864,0,,,,,
1865,0,,,,,
1866,0,,,,,
1867,0,,,,,
1868,0,,,,,
1870,0,,,,,
1874,0,,,,,
1875,0,,,,,
1886,0,,,,,
1892,19,,,,,
1900,17,,,,,
1901,0,,,,,
1902,0,,,,,
1904,0,,,,,
1905,0,,,,,
1915,0,,,,,
1932,3,,,,,
1934,0,,,,,
1935,0,,,,,
1936,1,,,,,
1937,1,,,,,
1939,0,,,,,
1943,16,,,,,
1944,0,,,,,
1945,1,,,,,
1948,0,,,,,
1949,0,,,,,
1950,0,,,,,
1951,0,,,,,
1959,0,,,,,
1960,0,,,,,
1961,0,,,,,
1962,0,,,,,
1963,0,,,,,
1965,1,,,,,
1966,16,,,,,
1970,0,,,,,
1971,0,,,,,
1973,1,,,,,
1984,0,,,,,
1985,0,,,,,
1986,0,,,,,
1988,2,,,,,
1992,1,,,,,
1993,3,,,,,
1996,0,,,,,
2000,0,,,,,
2001,0,,,,,
2002,0,,,,,
2003,0,,,,,
2004,0,,,,,
2005,6,,,,,
2006,1,,,,,
2007,0,,,,,
2008,1,,,,,
2011,0,,,,,
2012,0,,,,,
2017,0,,,,,
2024,0,,,,,
2029,1,,,,,
2032,0,,,,,
2039,0,,,,,
2040,0,,,,,
2041,0,,,,,
2044,0,,,,,
2045,8,,,,,
2046,0,,,,,
2047,0,,,,,
2051,0,,,,,
2068,0,,,,,
2070,4,,,,,
2071,16,,,,,
2074,0,,,,,
2075,0,,,,,
2076,0,,,,,
2077,0,,,,,
2078,0,,,,,
2079,0,,,,,
2080,0,,,,,
2081,0,,,,,
2082,0,,,,,
2083,0,,,,,
2084,0,,,,,
2085,0,,,,,
2086,54,,,,,
2088,0,,,,,
2089,0,,,,,
2090,0,,,,,
2099,0,,,,,
2100,0,,,,,
2103,0,,,,,
2104,0,,,,,
2105,0,,,,,
2107,0,,,,,
2108,0,,,,,
2109,6,,,,,
2110,1,,,,,
2111,0,,,,,
2116,0,,,,,
2118,4,,,,,
2119,0,,,,,
2130,1,,,,,
2132,2,,,,,
2140,0,,,,,
2142,0,,,,,
2143,0,,,,,
2147,0,,,,,
2150,1,,,,,
2152,0,,,,,
21,0,1,,,,
48,4,10,,,,
74,0,0,,,,
