,Year15,,,,,,Year16,,,,,,,Year17,,,,,Year18,,Year19,,,Year20,,,,,
,152,169,181,211,217,241,178,195,204,208,233,250,257,183,190,223,228,259,202,227,204,233,234,178,196,205,243,244,256
Site,1a,1b,1c,1d,1e,1f,2a,2b,2c,2d,2e,2f,2g,3a,3b,3c,3d,3e,4a,4b,5a,5b,5c,6a,6b,6c,6d,6e,6f
1764,44,317,401,468,161,479,288,254,210,103,147,189,343,172,292,136,373,282,264,168,0,534,278,40,728,0,398,202,300
228,2,NA,16,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,0,2,6,NA,NA,1,NA,NA,NA,NA,NA
490,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA
1634,5,NA,NA,55,NA,NA,53,NA,NA,24,NA,NA,NA,66,121,NA,NA,NA,124,NA,NA,210,NA,NA,NA,NA,NA,35,NA
2045,NA,16,NA,NA,NA,NA,13,48,NA,24,20,NA,2,8,6,19,9,NA,15,9,NA,8,NA,NA,NA,8,NA,NA,NA
